역명,호선,구,동,상세주소,전화번호,loc1,loc2
마곡,5,강서구,가양동,서울특별시 강서구 가양동 530-6 마곡역,6311-5140,0,0
발산,5,강서구,가양동,서울특별시 강서구 가양동 967-3 발산역,6311-5150,0,0
우장산,5,강서구,화곡동,서울특별시 강서구 화곡동 1089-3 우장산역,6311-5160,37.54922518,126.836414
화곡,5,강서구,화곡동,서울특별시 강서구 화곡동 1089-54 화곡역,6311-5170,37.54123382,126.8407958
까치산,5,강서구,화곡동,서울특별시 강서구 화곡동 662-5 까치산역(5호선),6311-5180,37.53254002,126.8462607
신정(은행정),5,양천구,신정동,서울특별시 양천구 신정동 1090 신정역,6311-5190,37.52472977,126.8542868
목동,5,양천구,목동,서울특별시 양천구 목동 926-3 목동역,6311-5200,37.52600622,126.8661584
오목교(목동운동장앞),5,양천구,목동,서울특별시 양천구 목동 406-30 오목교역,6311-5210,37.52467867,126.8740098
양평,5,영등포구,양평동2가,서울특별시 영등포구 양평동2가 33-79 양평역 ,6311-5220,37.52564929,126.885763
영등포구청,5,영등포구,당산동3가,서울특별시 영등포구 당산동3가 556-1 영등포구청역(5호선),6311-2361,37.52441624,126.8943437
영등포시장,5,영등포구,영등포동5가,서울특별시 영등포구 영등포동5가 62-1 영등포시장역,6311-5240,37.52218302,126.9052896
신길,5,영등포구,영등포동1가,서울특별시 영등포구 영등포동1가 35 신길역,6311-5250,37.51771414,126.9145096
여의도,5,영등포구,여의도동,서울특별시 영등포구 여의도동 3 여의도역,6311-5260,37.52324914,126.9269357
여의나루,5,영등포구,여의도동,서울특별시 영등포구 여의도동 84-4 여의나루역,6311-5270,37.52817256,126.9325108
마포,5,마포구,도화동,서울특별시 마포구 도화동 160 마포역,6311-5280,37.53873818,126.9448969
공덕,5,마포구,공덕동,"서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선)",6311-5290,37.54448725,126.9511951
애오개,5,마포구,아현동,서울특별시 마포구 아현동 612 애오개역,6311-5300,37.5533624,126.9566133
충정로(경기대입구),5,서대문구,충정로3가,서울특별시 서대문구 충정로3가 248-1 충정로역(5호선),6311-5310,37.56079484,126.9633129
서대문,5,종로구,평동,서울특별시 종로구 평동 210 서대문역,6311-5320,37.56618063,126.9669454
광화문(세종문화회관),5,종로구,세종로,서울특별시 종로구 세종로 1-90 광화문역,6311-5330,37.57155822,126.9772162
종로3가(탑골공원),5,종로구,낙원동,서울특별시 종로구 낙원동 126 종로3가역(5호선),6311-5340,37.57257575,126.9897517
을지로4가,5,중구,을지로4가,서울특별시 중구 을지로4가 192 을지로4가역(5호선),6311-5350,37.56619272,126.9985421
동대문역사문화공원,5,중구,광희동1가,서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선),6311-5360,37.56464685,127.0055982
청구,5,중구,신당동,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",6311-5370,37.5603486,127.0138713
신금호,5,성동구,금호동2가,서울특별시 성동구 금호동2가 223-1 신금호역,6311-5380,37.55494859,127.0199384
행당,5,성동구,행당동,서울특별시 성동구 행당동 317-241 행당역,6311-5390,37.55727844,127.029232
왕십리(성동구청),5,성동구,행당동,서울특별시 성동구 행당동 192 왕십리역(5호선),6311-5400,37.56122174,127.0366554
마장,5,성동구,마장동,서울특별시 성동구 마장동 772 마장역,6311-5410,0,0
답십리,5,성동구,용답동,서울특별시 성동구 용답동 99 답십리역,6311-5420,37.56644583,127.053181
장한평,5,동대문구,장안동,서울특별시 동대문구 장안동 472-3 장한평역,6311-5430,37.56216142,127.0606437
군자(능동),5,광진구,능동,"서울특별시 광진구 능동 275-5 군자역(5, 7호선)",6311-5440,37.55672985,127.0805345
아차산(어린이대공원후문),5,광진구,능동,서울특별시 광진구 능동 256-16 아차산역,6311-5450,37.55425241,127.0863484
광나루(장신대),5,광진구,광장동,서울특별시 광진구 광장동 237 광나루역,6311-5460,37.54517034,127.103503
천호(풍납토성),5,강동구,천호동,"서울특별시 강동구 천호동 455 천호역(5, 8호선)",6311-5470,37.53850366,127.1251117
강동,5,강동구,천호동,서울특별시 강동구 천호동 447 강동역,6311-5480,37.53577905,127.1341276
길동,5,강동구,길동,서울특별시 강동구 길동 378 길동역,6311-5490,37.53781156,127.1399992
굽은다리(강동구민회관앞),5,강동구,명일동,서울특별시 강동구 명일동 345-12 굽은다리역,6311-5500,37.54605199,127.143168
명일,5,강동구,명일동,서울특별시 강동구 명일동 312 명일역,6311-5510,37.55126028,127.1440009
고덕,5,강동구,고덕동,서울특별시 강동구 고덕동 310 고덕역,6311-5520,37.55562579,127.1538549
상일동,5,강동구,상일동,서울특별시 강동구 상일동 148 상일동역,6311-5530,37.55283435,127.1568481
둔촌동,5,강동구,둔촌동,서울특별시 강동구 둔촌동 416 둔촌동역,6311-5540,37.52813554,127.1363753
올림픽공원(한국체대),5,송파구,방이동,서울특별시 송파구 방이동 89-28 올림픽공원역,6311-5550,37.51655071,127.1311341
방이,5,송파구,방이동,서울특별시 송파구 방이동 217-2 방이역,6311-5560,37.50803393,127.1254536
오금,5,송파구,오금동,서울특별시 송파구 오금동 44-2 오금역,6311-3521,37.503413,127.1261679
개롱,5,송파구,오금동,서울특별시 송파구 오금동 165-2 개롱역,6311-5580,0,0
거여,5,송파구,거여동,서울특별시 송파구 거여동 20-14 거여역,6311-5590,37.49428646,127.1419505
마천,5,송파구,마천동,서울특별시 송파구 마천동 307-4 마천역,6311-5600,37.49445177,127.1519651
응암,6,은평구,역촌동,서울특별시 은평구 역촌동 85-41 응암역,6311-6100,37.59928973,126.9153353
역촌,6,은평구,녹번동,서울특별시 은평구 녹번동 144-69 역촌역,6311-6110,37.6062256,126.9233018
불광,6,은평구,대조동,서울특별시 은평구 대조동 14-1 불광역(6호선),6311-6120,37.61053751,126.9292988
독바위,6,은평구,불광동,서울특별시 은평구 불광동 13-33 독바위역,6311-6130,37.61837657,126.9328573
연신내,6,은평구,갈현동,서울특별시 은평구 갈현동 397 연신내역,6311-3211,37.6189326,126.920853
구산,6,은평구,구산동,서울특별시 은평구 구산동 1 구산역,6311-6150,37.61121222,126.9171824
새절(신사),6,은평구,신사동,서울특별시 은평구 신사동 337-5 새절역,6311-6160,37.59115986,126.9132854
증산(명지대앞),6,은평구,증산동,서울특별시 은평구 증산동 199-8 증산역,6311-6170,37.58365121,126.9093767
디지털미디어시티,6,은평구,수색동,서울특별시 은평구 수색동 37-36 디지털미디어시티역,6311-6180,37.57694161,126.9016291
월드컵경기장(성산),6,마포구,성산동,서울특별시 마포구 성산동 420 월드컵경기장역,6311-6190,37.56994257,126.8990333
마포구청,6,마포구,성산동,서울특별시 마포구 성산동 592 마포구청역,6311-6200,37.56342631,126.903357
망원,6,마포구,망원동,서울특별시 마포구 망원동 378 망원역,6311-6210,37.55605729,126.9100339
합정,6,마포구,합정동,서울특별시 마포구 합정동 414 합정역(6호선),6311-6220,37.54912268,126.9135446
상수,6,마포구,상수동,서울특별시 마포구 상수동 309-10 상수역,6311-6230,37.54794311,126.9229367
광흥창(서강),6,마포구,창전동,서울특별시 마포구 창전동 145-17 광흥창역,6311-6240,37.54742637,126.9324767
대흥(서강대앞),6,마포구,대흥동,서울특별시 마포구 대흥동 128-1 대흥역,6311-6250,37.54772967,126.9423785
공덕,6,마포구,공덕동,"서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선)",6311-5290,37.54448725,126.9511951
효창공원앞,6,용산구,효창동,서울특별시 용산구 효창동 80 효창공원앞역,6311-6270,37.53962234,126.9609836
삼각지,6,용산구,한강로1가,서울특별시 용산구 한강로1가 228-1 삼각지역(6호선),6311-6280,37.53465304,126.9732217
녹사평(용산구청),6,용산구,용산동,서울특별시 용산구 용산동 4가 4 녹사평역,6311-6290,37.53444553,126.9855245
이태원,6,용산구,이태원동,서울특별시 용산구 이태원동 119-23 이태원역,6311-6300,37.53455117,126.9947286
한강진,6,용산구,한남동,서울특별시 용산구 한남동 726-494 한강진역,6311-6310,37.54080728,127.0018409
버티고개,6,중구,신당동,서울특별시 중구 신당동 366-454 버티고개역,6311-6320,37.54818735,127.0070664
약수,6,중구,신당동,서울특별시 중구 신당동 369-2 약수역(6호선),6311-6330,37.55506287,127.0105991
